,kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,publish_date,viewcount_jamescharles
172,youtube#playlistItem,7uLSztDd59_kBTxPJJ6lntTvOwM,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmNTekJvUC16THZN,2021-07-30T19:00:19Z,UCucot-Zp428OwkyRm2I7v2Q,Guessing CHEAP vs. EXPENSIVE Makeup!,"Hi Sisters! In today's video, I wanted to put my knowledge of makeup to the test and see if I was able to figure out which products were CHEAP (drugstore) vs EXPENSIVE (luxury, high end, overpriced priced brands)! Do you think I'll get them all correct?! Watch and find out!  🎥 Previous Video » https://youtu.be/lS2OmljzxMU 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  Maybelline Fit Me Foundation » https://amzn.to/3ylveqw E.L.F. Camo Concealer » https://amzn.to/3rNvFXV Essence Highlighter » https://amzn.to/3BVDYpj NYX Setting Spray » https://amzn.to/3lbDxkH ColourPop EyeShadow Palette » https://amzn.to/3xcdhsL Benefit Brow Pencil » https://amzn.to/3l9eleO NYX Brow Pencil » https://amzn.to/3zTYmFG ABH Setting Powder » https://amzn.to/3icgqVe  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://www.youtube.com/user/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,171,youtube#video,cSzBoP-zLvM,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-07-30,4735642
173,youtube#playlistItem,XChaOltBLCGKTf6OSnNRurE4aWI,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmxTMk9tbGp6eE1V,2021-07-23T19:00:01Z,UCucot-Zp428OwkyRm2I7v2Q,Secrets To Getting A VIRAL Instagram Photo! 🤐,"Hi Sisters! In today's video, I wanted to show you my behind the scenes secret process of how I create insane makeup photos for Instagram that hit the explore page and go viral! Enjoy!  🎥 Previous Video » https://youtu.be/NncwTONuP4c 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://www.youtube.com/user/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,172,youtube#video,lS2OmljzxMU,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-07-23,1562289
174,youtube#playlistItem,LjAIZ5Yqvgp17-c_Hh3nVpQU02Y,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLk5uY3dUT051UDRj,2021-07-16T19:00:05Z,UCucot-Zp428OwkyRm2I7v2Q,TikTok Makeup Hacks Are CRAZY,"Hi Sisters! In today's video, I reacted to and tested some insane TikTok Makeup Hacks! I was ready to drag and roast them all but they actually ended up being kinda... helpful for once?! Check out the video and see!  🎥 Previous Video » https://youtu.be/dCpFwcX3-ow 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://www.youtube.com/user/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,173,youtube#video,NncwTONuP4c,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-07-16,4322934
175,youtube#playlistItem,O3D9jft1ZhZf97gmLZ1f5LPig-s,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmRDcEZ3Y1gzLW93,2021-07-09T19:00:10Z,UCucot-Zp428OwkyRm2I7v2Q,Baking My Own Crumbl Cookies!,Hi Sisters! I wanted to challenge myself to try to bake my own crumbl cookies from scratch! Will my DIY recipes compare to the real thing? Watch and find out!  🎥 Previous Video »  🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://www.youtube.com/user/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny,James Charles,UUucot-Zp428OwkyRm2I7v2Q,174,youtube#video,dCpFwcX3-ow,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-07-09,3543476
176,youtube#playlistItem,PPzedM6BI_AFYmWDa2XvJvAo1fQ,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmZRdkNaNVpzbkdN,2021-07-02T19:00:11Z,UCucot-Zp428OwkyRm2I7v2Q,An Open Conversation,"Hi Sisters, long time no see. After a lot of self reflection and many conversations with friends, family, role models in my industry, and professionals, I've come to terms with several issues I've been ignoring for a long time now. In today's video, I wanted to have an honest conversation and hope to answer some questions, share my progress and talk about what I’ve been up to over the past couple of months with anyone who wants to listen.",James Charles,UUucot-Zp428OwkyRm2I7v2Q,175,youtube#video,fQvCZ5ZsnGM,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-07-02,6551326
177,youtube#playlistItem,c42vftmBdT4lL-4EXOyUsbEeSwY,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkVjSUpzaUQ2MlZn,2021-03-26T19:04:15Z,UCucot-Zp428OwkyRm2I7v2Q,"I Bet My Friends $100,000 I Could Beat Them In Mario Kart",HI SISTERS! I bet my friends $100K that I could beat them in Mario Kart so we filmed a gaming competition! The races were absolutely insane. Watch to find out who ends up taking home the first place prize. Enjoy!  Special thanks to Troy TWD98 for joining us! » https://www.youtube.com/user/TWD98  🎥 PREVIOUS VIDEO » https://youtu.be/sBzPXFrVcws 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny,James Charles,UUucot-Zp428OwkyRm2I7v2Q,176,youtube#video,EcIJsiD62Vg,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-03-26,3600717
178,youtube#playlistItem,Nu9_Lak_HjHTLYfPy2S2bD-_J18,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLnNCelBYRnJWY3dz,2021-03-23T19:00:22Z,UCucot-Zp428OwkyRm2I7v2Q,Using VIRAL Face Filters To Do My Makeup,"HI SISTERS! In today's video, I thought it would be hilarious to challenge myself to do my full face of makeup, but using ONLY used viral tiktok face distorting filters instead of my mirror! This was so much fun to film, I hope you enjoy!  🎥 PREVIOUS VIDEO » https://youtu.be/06ojbevQiHc 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,177,youtube#video,sBzPXFrVcws,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-03-23,4687057
179,youtube#playlistItem,4Ig6v7ZJSZWqoRtCzA-BOv15G8E,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLjA2b2piZXZRaUhj,2021-03-19T19:00:08Z,UCucot-Zp428OwkyRm2I7v2Q,Full Face Of WORST RATED Makeup Products!,"HI SISTERS! In today's video, I decided to try out a full face using only the WORST RATED makeup products! Most of them lived up to their awful ratings but a few of them surprised me! Enjoy and don't forget to thumbs up and subscribe!  🎥 PREVIOUS VIDEO » https://youtu.be/2ZLmRi64a-U 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,178,youtube#video,06ojbevQiHc,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-03-19,10821691
180,youtube#playlistItem,9vu7fAl4oiNyjRET2Wb-fefmQ1A,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLjJaTG1SaTY0YS1V,2021-03-16T19:00:21Z,UCucot-Zp428OwkyRm2I7v2Q,"Exposing ""Makeup For Men""","HI BROTHERS! In today's video, I'm trying out ""Makeup For Men"". I found a few different brands that all have products or lines specifically for men, so I wanted to test them out, see if they were worth the purchase or just a marketing scheme, and give my first impressions. Enjoy and don't forget to thumbs up and subscribe!   🎥 PREVIOUS VIDEO » https://youtu.be/HAo9ipRIDjc 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,179,youtube#video,2ZLmRi64a-U,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-03-16,5971886
181,youtube#playlistItem,PnEmvC7-nPzidfQIP_lw_YpTSK0,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkhBbzlpcFJJRGpj,2021-03-12T20:00:02Z,UCucot-Zp428OwkyRm2I7v2Q,"Gamers Pick My Makeup! ft. Dream, Corpse, PewDiePie & more!","HI SISTERS! In today's video, I asked all of my favorite gamers to pick my makeup routine! Dream, Corpse, TommyInnit, Pokimane, PewDiePie, KarlJacobs, Quackity, GeorgeNotFound, Valkyrae, Sykkuno and DisguisedToast all join me and the look they created is... game over. Enjoy and don't forget to thumbs up and subscribe!  🎥 PREVIOUS VIDEO » https://youtu.be/vxjgDnNW6Hw 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,180,youtube#video,HAo9ipRIDjc,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-03-12,6689191
182,youtube#playlistItem,GpUYljKK2DZ4nvFHOjAQJCxjXEk,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLlRkMjF2cXlHMG4w,2021-03-09T20:00:02Z,UCucot-Zp428OwkyRm2I7v2Q,CHIPOTLE Launched A Makeup Line?! 🌯 Honest Review!,HI SISTERS! Chipotle recently announced that they were collaborating with E.L.F cosmetics to release a makeup collection! I've gotten so many requests to review it and let you guys know if it's worth picking up with your next burrito bowl! Enjoy!  🎥 PREVIOUS VIDEO » https://youtu.be/qlXo_mlwf0Q 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny,James Charles,UUucot-Zp428OwkyRm2I7v2Q,181,youtube#video,Td21vqyG0n0,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-03-09,5069907
183,youtube#playlistItem,rnyEmNR44z7GcZi-n5viFYSNO-w,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLnFsWG9fbWx3ZjBR,2021-03-05T20:00:24Z,UCucot-Zp428OwkyRm2I7v2Q,Destroying My Palette & Turning It Into Paint!,"HI SISTERS! In today's video, I DESTROYED my palette, turned it into paint, and then painted a picture with it! This was inspired by EmDoesSketches on TikTok and it was an amazing way to repurpose an old product into a new art form. I hope you enjoy this relaxing video, let me know if you like it!  🎥 PREVIOUS VIDEO » https://youtu.be/vxjgDnNW6Hw 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,182,youtube#video,qlXo_mlwf0Q,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-03-05,5572489
184,youtube#playlistItem,lUM4_EYooQ3coS85u2sLyR8RZQw,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLnZ4amdEbk5XNkh3,2021-02-23T20:00:41Z,UCucot-Zp428OwkyRm2I7v2Q,Exposing SCAM 5 Minute Crafts Makeup Hacks,"HI SISTERS! In today's video, I'm testing and EXPOSING more 5 minute craft makeup hacks. Spoiler alert, most of these are a huge scam so sit back and enjoy the rage as I try to make these work! hahaha don't forget to thumbs up and subscribe!  🎥 PREVIOUS VIDEO » https://youtu.be/FOHGtdJKlrE 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,183,youtube#video,vxjgDnNW6Hw,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-02-23,11333971
185,youtube#playlistItem,CjZM3TQghIC0LK1-6laOs7rH0Pw,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkZPSEd0ZEpLbHJF,2021-02-19T23:20:21Z,UCucot-Zp428OwkyRm2I7v2Q,I Shaved My Head Bald,"HI SISTERS! I’M BALD! In today’s video, I decided to try out being bald for 24 hours as a hilarious prank on my friends and followers! It was so cool to see myself in a different way and I gained a new confidence too… enjoy and don’t forget to thumbs up!  🎥 PREVIOUS VIDEO » https://youtu.be/BMM4UIetbjw 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Dan Nadify http://www.twitter.com/nadifyy EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,184,youtube#video,FOHGtdJKlrE,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-02-19,10620107
186,youtube#playlistItem,IMk7i8jcEYQySxyviwSSF7bHCJQ,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkJNTTRVSWV0Ymp3,2021-02-12T20:00:03Z,UCucot-Zp428OwkyRm2I7v2Q,24 Hours Being PREGNANT!!,"HI SISTERS! In today's video, I'm trying something I'll never get to experience, being pregnant! My best friend Laura is pregnant with her second baby so she challenged me to be pregnant for 24 hours to see if I was strong enough to go through what she does! 💪🏼 I hope you enjoy the video and don't forget to thumbs up and subscribe!  🎥 PREVIOUS VIDEO » https://youtu.be/dEIVRhK61hA 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,185,youtube#video,BMM4UIetbjw,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-02-12,18034557
187,youtube#playlistItem,e9P9DRmj7h_H3jG017B7SMLoslo,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmRFSVZSaEs2MWhB,2021-02-09T20:02:56Z,UCucot-Zp428OwkyRm2I7v2Q,Baking a Cake WITHOUT A RECIPE! *DISASTER*,"HI SISTERS! In today's video, I tried to bake a cake from scratch, with NO RECIPE. Inspired by the Try Guys, I had to guess every single ingredient from my memory to try to bake a delicious vanilla cake and I let my friends try it at the end... enjoy and don't forget to thumbs up and subscribe!!   🎥 PREVIOUS VIDEO » https://youtu.be/KdxYsioqJnU 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM CREATIVE DIRECTOR: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,186,youtube#video,dEIVRhK61hA,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-02-09,6013969
188,youtube#playlistItem,YuUz_Wj_FkiBZIyAvIh59a61F24,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLktkeFlzaW9xSm5V,2021-02-05T20:00:04Z,UCucot-Zp428OwkyRm2I7v2Q,Full Face Using Only KIDS Makeup Challenge!,"HI SISTERS! In today's video, I'm doing the full face using only KIDS makeup challenge!! My team went to childrens stores and spent over $500 on glitter, bows, backpacks, and of course, makeup! Enjoy and don't forget to thumbs up and subscribe!  🎥 PREVIOUS VIDEO » https://youtu.be/ikmjawmdJew 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM DIRECTOR OF CONTENT: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,187,youtube#video,KdxYsioqJnU,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-02-05,13024667
189,youtube#playlistItem,ICubuWUAT2Dru9TIbbd44U_hTkc,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmlrbWphd21kSmV3,2021-02-02T20:03:45Z,UCucot-Zp428OwkyRm2I7v2Q,I Bought The Worst FAKE James Charles Merch,"HI SISTERS! In today's video, I ordered FAKE James Charles Merch from knockoff bootleg websites and decided to review it for you guys for a good laugh and to hopefully save you some money! Enjoy and don't forget to thumbs up and subscribe!  🎥 PREVIOUS VIDEO » https://youtu.be/6MQfkjpsrzw 👕 SISTER'S APPAREL » http://sisters-apparel.com 🛎 Subscribe to my channel to join the sisterhood & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 LET'S BE BFFS TEXT ME! » 310-905-8746 INSTAGRAM » http://instagram.com/jamescharles FACEBOOK » http://facebook.com/jcharlesbeauty TWITTER » http://twitter.com/jamescharles SNAPCHAT » jamescharless TIKTOK » jamescharles  💌 Business Inquiries » business@spinandco.com  💸 COUPON CODES 💸 USE CODE JAMES FOR MONEY OFF YOUR ORDER! MORPHE » http://morphebrushes.com LILLY LASHES » https://lillylashes.com/ LAURAS BOUTIQUE » http://lauras-boutique.com  🔥 MY AMAZING TEAM DIRECTOR OF CONTENT: Louis Gargiula http://instagram.com/louisgargiula EDITOR: Dan Nadify www.twitter.com/nadifyy EDITOR: Ryan Allen http://www.youtube.com/user/helloxryan  GRAPHICS: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,188,youtube#video,ikmjawmdJew,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2021-02-02,7489025
